"","x1","against_blm","for_blm","name","party","text","time","topic_blm"
"1",4015,0,0,"Brian Kemp","Republican","marty and i are excited to be back on the campaign trail tomorrow with 
@kloeffler
, 
@nikkihaley
, & general king. hope you can join us -> https://kellyforsenate.com/tour/ #gapol #gasen #kag #maga","2020-10-29 21:28:20",0
"2",4017,NA,NA,"Brian Kemp","Republican","i promised that georgia would stop and dismantle gangs that are flooding our streets with drugs, violence, and fear. thanks to the 
@gbi_ga
 and local law enforcement, we are making good on that commitment. #gapol","2020-10-28 18:20:03",1
"3",4022,0,0,"Brian Kemp","Republican","great job, senator! #gapol","2020-10-27 0:46:11",0
"4",4028,NA,NA,"Brian Kemp","Republican","georgia continues to make progress in the fight against human trafficking. we are grateful for federal, state, and local law enforcement and their commitment to the safety of our families. together, we will end this evil industry once and for all. #gapol","2020-10-24 14:08:36",1
"5",4037,0,0,"Brian Kemp","Republican","big day in georgia. #godawgs & #mixitup, 
@braves
!","2020-10-17 15:37:52",0
"6",4040,NA,NA,"Brian Kemp","Republican","the kemp family proudly supports our brave men and women in uniform. rt if you do too! #backtheblue #gapol","2020-10-17 02:29:35",1
"7",4046,0,0,"Brian Kemp","Republican","georgia’s own, 
@iam_janellek
, is right! president 
@realdonaldtrump
 is going to win the peach state on november 3rd because of “safety, a strong economy, and strong leadership.” rt if you agree! #gapol","2020-10-15 17:43:46",0
"8",4052,0,0,"Brian Kemp","Republican","250 jobs and $20 million in investment to alma in southeast georgia! #gapol","2020-10-10 15:43:10",0
"9",4057,0,0,"Brian Kemp","Republican","more jobs and economic investment coming to columbus! https://walb.com/2020/10/08/kysor-warren-epta-us-invests-million-expand-columbus-creates-jobs/… #gapol","2020-10-09 14:30:35",0
"10",4068,NA,NA,"Brian Kemp","Republican","another reason to #backtheblue and pray for those who risk their lives to keep us safe from harm. #gapol","2020-09-28 00:17:38",1
"11",4075,0,0,"Brian Kemp","Republican","“the governor and the first lady here have been second to none in the nation in taking this fight on and working closely with the federal government and i really appreciate that."" - attorney general bill barr #gapol","2020-09-22 19:11:25",0
"12",4086,0,0,"Brian Kemp","Republican","so many great georgia colleges and universities included in the 
@usnews
 rankings. congratulations and keep choppin'! #gapol","2020-09-14 14:43:44",0
"13",4096,0,0,"Brian Kemp","Republican","georgians have really stepped up in the fight against covid-19 and the data proves that our measured approach, which protects people and their paychecks, is working. https://gwinnettdailypost.com/local/health/georgia-touts-promising-trends-in-covid-19-fight/article_ffa6a09f-93a9-5816-a272-9affa4887eb3.html… #gapol","2020-09-09 16:23:48",0
"14",4107,0,0,"Brian Kemp","Republican","the great american comeback continues! keep choppin', 
@realdonaldtrump
! #gapol","2020-09-04 17:18:33",0
"15",4123,NA,NA,"Brian Kemp","Republican","as part of “operation not forgotten”, federal and state law enforcement rescued 39 innocent children and put numerous criminals behind bars. this is another step forward in the fight to end sex trafficking and save lives in georgia. #gapol","2020-08-28 01:20:31",1
"16",4132,0,0,"Brian Kemp","Republican","no criticism or backlash will stop us from protecting people & paychecks in georgia. 
@varneyco
 : ""gov. kemp defied the naysayers & stood up for the freedom to make a living. he displayed political courage, a commodity in short supply these days."" #gapol","2020-08-26 13:29:31",0
"17",4133,0,0,"Brian Kemp","Republican","happy 80th birthday to my friend and former georgia governor, 
@nathandeal
! #gapol","2020-08-25 16:26:29",0
"18",4158,0,0,"Brian Kemp","Republican","""in our opinion, georgia’s economy should be among the more resilient…absent any future outbreaks or pull-back in economic activity, the state should be relatively well positioned for future growth."" - 
@spglobalratings
 #gapol","2020-08-14 13:42:43",0
"19",4161,NA,NA,"Brian Kemp","Republican","according to law enforcement officials, the seizure of 375 pounds of heroin last month in atlanta is the largest bust in georgia history. more importantly, agents believe this joint operation will cripple drug trafficking in the southeast for years. #gapol","2020-08-13 12:57:52",1
"20",4165,0,0,"Brian Kemp","Republican","during the press conference, we also discussed:
 georgia’s hospitalizations are down by 10% over the past 10 days with plenty of capacity at piedmont & 
@gwcc_atl
. 
 the curve has flattened on the number of new cases in georgia and the positivity rate continues to fall.","2020-08-10 23:57:37",0
"21",4174,0,0,"Brian Kemp","Republican","with the signing of senate bill 288, we are taking another measured step forward on criminal justice reform in georgia. the ""second chance bill"" will reduce recidivism rates, boost workforce participation, and ultimately keep georgia families safe. #gapol","2020-08-07 15:02:08",0
"22",4175,NA,NA,"Brian Kemp","Republican","georgia is a state that unapologetically supports our men and women in uniform. during these difficult days, we must protect those who risk their lives to protect us. #backtheblue #gapol","2020-08-07 15:00:52",1
"23",4189,0,0,"Brian Kemp","Republican","as our state ramps up testing, expands hospital surge capacity, and provides staffing, supplies, and resources to cities and counties throughout georgia, we urge local officials to enforce the rules and restrictions detailed in these orders.","2020-08-01 13:11:00",0
"24",4195,0,0,"Brian Kemp","Republican","hunker down, mask up, and let's stop the spread of covid-19 in georgia! #gapol","2020-07-29 13:53:23",0
"25",4196,0,0,"Brian Kemp","Republican","hunker down and mask up, georgia! #gapol","2020-07-27 19:47:18",0
"26",4224,NA,NA,"Brian Kemp","Republican","we pray for our local heroes - especially during these challenging times - and offer up our deepest gratitude for their unmatched  commitment to public safety. 

we proudly #backtheblue. rt if you do too! #gapol","2020-07-11 15:40:50",1
"27",4225,1,0,"Brian Kemp","Republican","we stand with our men and women in uniform who act with integrity, serve with compassion, and sacrifice their lives to protect our families and communities.","2020-07-11 15:40:50",1
"28",4233,NA,NA,"Brian Kemp","Republican","i have declared a state of emergency and called up the 
@georgiaguard
 because the safety of our citizens comes first. this measure will allow troops to protect state property and dispatch state law enforcement officers to patrol our streets.","2020-07-07 00:17:44",1
"29",4234,NA,NA,"Brian Kemp","Republican","peaceful protests were hijacked by criminals with a dangerous, destructive agenda. now, innocent georgians are being targeted, shot, and left for dead. this lawlessness must be stopped and order restored in our capital city.","2020-07-07 00:17:44",1
"30",4235,NA,NA,"Brian Kemp","Republican","in georgia, we stand against violence and with law enforcement. rest assured, these criminals will be held accountable for their destructive and dangerous behavior. #gapol","2020-07-05 16:51:01",1
"31",4249,0,0,"Brian Kemp","Republican","icymi: ‘georgia is too great to hate’: kemp signs hate crimes bill #gapol","2020-06-27 14:14:56",0
"32",4252,NA,NA,"Brian Kemp","Republican","for years, cartels have used ga as a distribution hub for drugs, weapons, & lives. by working in coordination w/ fed, state, & local law enforcement, we are dismantling their supply chain & protecting communities from dangerous, violent criminals. #gapol","2020-06-25 18:33:08",1
"33",4260,1,0,"Brian Kemp","Republican","“blessed are the peacemakers: for they shall be called the children of god.” – matthew 5:9 #gapol #backtheblue","2020-06-18 18:19:35",1
"34",4261,0,0,"Brian Kemp","Republican","john waggoner was a great american who served as the mayor of colbert for 41 years. he is the definition of a public servant and will be missed greatly by his community and those who were honored to call him a friend. #gapol","2020-06-18 14:39:13",0
"35",4286,0,0,"Brian Kemp","Republican","the kemp family is praying that 
@allenwest
 has a swift recovery. great to hear that he’s heading home soon! #gapol","2020-05-24 17:10:05",0
"36",4314,0,0,"Brian Kemp","Republican","with over 50 testing sites, record high hospital surge capacity, reduced number of hospitalized patients, and a drop in the percentage of georgians testing positive, we are making progress in this war against covid-19 by working together! #gapol","2020-05-05 19:35:04",0
"37",10089,0,0,"Doug Burgum","Republican","join us for the fourth annual recovery reinvented at 9 a.m. ct! looking forward to connecting with 2,500+ virtual attendees throughout the day to discuss north dakota's efforts around recovery and behavioral health. tune in at https://recoveryreinvented.com","2020-10-28 13:37:10",0
"38",10090,0,0,"Doug Burgum","Republican","congrats to the 
@trpreslibrary
 on securing $100m in private commitments to complete a vision that began over a decade ago. grateful to the legislature & all who responded to the challenge to build this legacy project for the benefit of all north dakotans for generations to come!","2020-10-27 23:40:04",0
"39",10097,0,0,"Doug Burgum","Republican","grateful to have dr. joshua wynne serving as north dakota's chief health strategist during this challenging time in our state's history.","2020-10-21 22:19:05",0
"40",10101,0,0,"Doug Burgum","Republican","congratulations to 
@ndgovitd
's tabitha teel on being selected to help develop national standards for k-12 cybersecurity education! grateful to the team of advocates empowering nd's students to learn skills that will prepare them for 21st century careers. https://nd.gov/itd/news/6939/2020-state-computer-science-report-highlights-north-dakota%e2%80%99s-achievements-teel-named…","2020-10-19 18:00:55",0
"41",10111,NA,NA,"Doug Burgum","Republican","this specialized law enforcement training at camp grafton will create more opportunities for tribal members and others to train closer to home, increasing the supply of bia & tribal police officers and enhancing the safety of our communities for everyone.","2020-10-09 18:21:21",1
"42",10114,0,0,"Doug Burgum","Republican","sen. mark andrews was a longtime family friend, a dedicated public servant & an unflinching champion for north dakota for more than two decades in congress. kathryn and i extend our prayers and deepest condolences to the andrews family. our full statement: https://governor.nd.gov/news/burgum-statement-passing-former-us-sen-mark-andrews…","2020-10-07 0:57:05",0
"43",10124,0,0,"Doug Burgum","Republican","grateful to k-12 superintendents and local health officials for today’s meeting with our healthy return to learning team. working together, we can take the necessary steps to keep schools open and provide important educational, nutritional & behavioral resources for students.","2020-09-29 21:15:03",0
"44",10126,0,0,"Doug Burgum","Republican","we're just over a week away from the 2020 main street summit! register today to join local and national experts discussing best practices to build resilient communities for north dakota's future. reserve your space now at http://mainstreetsummitnd.com!","2020-09-28 19:31:50",0
"45",10128,NA,NA,"Doug Burgum","Republican","congrats to judge amy coney barrett on her nomination by 
@realdonaldtrump
, an excellent choice to be the next u.s. supreme court justice and 5th woman to serve on the nation's highest court. judge barrett is known as a champion of the constitution and will serve our country well!","2020-09-26 21:41:40",1
"46",10137,0,0,"Doug Burgum","Republican","every day, we’re grateful to live in a state filled with generous, caring people. on #worldgratitudeday, we’re especially grateful for the health care workers, educators, first responders, team nd members and all who have helped save lives and livelihoods during covid-19.","2020-09-21 22:30:03",0
